,Best Model,RMSE,MAE,MAPE
KIT0001008,ARIMA,18.41858350351225,18.3942047582337,57.16000000388504
KIT0000162,ARIMA,2.3163299965654995,2.0505034244425744,7.070701463595085
KIT0000201,SARIMAX,8.874416135722246,6.596099638456067,2.6384398553824266
KIT0000884,ARIMA,3.25527719306234,2.6588363869482166,6.647090967370542
KIT0000268,AR,0.9949349784355004,0.9930937249588823,3.3103124165296074
KIT0001000,AR,1.4338966400965205,1.4099472592497193,0.5035525925891854
KIT0000885,AR,4.867715525623125,4.605958086671009,5.214464144361868
KIT0000886,ARIMA,1.8004703990533912,1.7999326917038196,4.339023682146954
KIT0000887,AR,1.9215654200307855,1.7255177434441364,3.3508139354319484
KIT0000888,AR,19.24524861178547,16.480415052788032,24.44584890591145
KIT0001025,AR,7.086789133039607,6.403492202550872,7.4775904787114404
KIT0001026,ETS,2.264062066371138,2.2501649364077156,9.762448613418684
